city_id,city,latitude,longitude,temperature,humidity,cloudiness,wind_speed,country,date_time
0,kalianget,-7.05,113.9333,81.9,83,100,8.84,ID,2024-04-20 13:40:57
1,edinburgh of the seven seas,-37.0676,-12.3116,57.92,69,100,6.96,SH,2024-04-20 13:39:09
2,phan rang-thap cham,11.5667,108.9833,75.7,91,13,2.8,VN,2024-04-20 13:40:58
3,tiksi,71.6872,128.8694,17.4,90,50,5.84,RU,2024-04-20 13:39:08
4,adamstown,-25.066,-130.1015,72.37,75,0,24.05,PN,2024-04-20 13:39:13
5,hermanus,-34.4187,19.2345,62.8,90,21,8.9,ZA,2024-04-20 13:39:27
6,wailua homesteads,22.0669,-159.378,74.93,72,75,10.36,US,2024-04-20 13:39:44
7,carnarvon,-24.8667,113.6333,73.29,28,0,12.21,AU,2024-04-20 13:40:02
8,gadzhiyevo,69.2551,33.3362,24.48,66,100,20.83,RU,2024-04-20 13:39:17
9,yellowknife,62.456,-114.3525,42.21,67,20,6.91,CA,2024-04-20 13:39:07
10,longyearbyen,78.2186,15.6401,30.04,69,75,19.57,SJ,2024-04-20 13:39:06
11,invercargill,-46.4,168.35,52.02,97,94,8.99,NZ,2024-04-20 13:39:25
12,papatowai,-46.5619,169.4708,53.65,88,100,9.04,NZ,2024-04-20 13:39:35
13,laguna,38.421,-121.4238,75.94,55,0,5.75,US,2024-04-20 13:39:53
14,san antonio de pale,-1.4014,5.6325,83.77,82,81,4.68,GQ,2024-04-20 13:39:51
15,umba,66.6871,34.3429,18.79,87,100,14.67,RU,2024-04-20 13:40:59
16,petropavlovsk-kamchatsky,53.0452,158.6483,34.45,95,100,6.71,RU,2024-04-20 13:39:42
17,bredasdorp,-34.5322,20.0403,64.58,89,94,6.89,ZA,2024-04-20 13:39:12
18,college,64.8569,-147.8028,49.39,33,0,3.44,US,2024-04-20 13:38:21
19,tocache,-8.1842,-76.5125,87.08,57,28,2.64,PE,2024-04-20 13:41:00
20,fort bragg,35.139,-79.006,78.96,65,100,5.75,US,2024-04-20 13:39:35
21,port-aux-francais,-49.35,70.2167,46.31,97,99,30.33,TF,2024-04-20 13:39:14
22,iqaluit,63.7506,-68.5145,14.7,78,100,8.05,CA,2024-04-20 13:39:07
23,olonkinbyen,70.9221,-8.7187,30.99,96,100,33.06,SJ,2024-04-20 13:39:06
24,bilibino,68.0546,166.4372,2.61,92,80,1.21,RU,2024-04-20 13:39:09
25,grytviken,-54.2811,-36.5092,41.54,97,100,2.15,GS,2024-04-20 13:39:09
26,nagqu,31.5,92.0,27.86,61,81,5.5,CN,2024-04-20 13:39:16
27,sitka,57.0531,-135.33,60.69,23,0,9.22,US,2024-04-20 13:41:01
28,lebu,-37.6167,-73.65,56.32,64,100,15.93,CL,2024-04-20 13:39:40
29,thompson,55.7435,-97.8558,35.76,41,20,12.66,CA,2024-04-20 13:39:08
30,talnakh,69.4865,88.3972,-9.8,95,52,4.47,RU,2024-04-20 13:39:30
31,aasiaat,68.7098,-52.8699,22.84,84,100,8.99,GL,2024-04-20 13:39:23
32,puerto natales,-51.7236,-72.4875,43.25,49,40,19.57,CL,2024-04-20 13:39:17
33,punta arenas,-53.15,-70.9167,42.91,49,75,18.41,CL,2024-04-20 13:39:07
34,margaret river,-33.95,115.0667,59.95,49,47,4.94,AU,2024-04-20 13:39:43
35,bethel,41.3712,-73.414,62.22,45,75,6.91,US,2024-04-20 13:39:19
36,vorgashor,67.5833,63.95,15.8,78,100,10.27,RU,2024-04-20 13:39:08
37,kapuskasing,49.4169,-82.4331,39.2,52,75,18.41,CA,2024-04-20 13:39:28
38,mahina,-17.5065,-149.489,87.57,62,75,18.41,PF,2024-04-20 13:39:52
39,bakaly,55.1789,53.8028,57.76,91,100,3.13,RU,2024-04-20 13:41:02
40,astrakhan,46.3497,48.0408,58.87,77,0,6.71,RU,2024-04-20 13:41:02
41,lazaro cardenas,17.9583,-102.2,82.94,51,6,12.1,MX,2024-04-20 13:40:10
42,yaren,-0.5472,166.916,82.67,74,94,1.07,NR,2024-04-20 13:41:03
43,udachny,66.4167,112.4,29.44,95,100,6.15,RU,2024-04-20 13:39:48
44,ilulissat,69.2167,-51.1,26.62,59,24,3.44,GL,2024-04-20 13:39:08
45,ust-nera,64.5667,143.2,16.23,88,32,2.55,RU,2024-04-20 13:39:18
46,gaspe,48.8334,-64.4819,46.62,71,100,5.75,CA,2024-04-20 13:41:03
47,adrar,20.5022,-10.0711,86.29,12,98,8.97,MR,2024-04-20 13:41:03
48,grantsville,40.5999,-112.4644,64.31,37,0,9.22,US,2024-04-20 13:40:42
49,atafu village,-8.5421,-172.5159,84.72,77,3,13.02,TK,2024-04-20 13:40:15
50,jamestown,42.097,-79.2353,40.48,48,100,21.85,US,2024-04-20 13:39:08
51,la passe,45.5549,-0.8967,50.02,69,0,13.33,FR,2024-04-20 13:39:25
52,tazovsky,67.4667,78.7,-12.05,100,99,3.18,RU,2024-04-20 13:39:33
53,guerrero negro,27.9769,-114.0611,66.54,58,4,17.22,MX,2024-04-20 13:41:04
54,lompoc,34.6391,-120.4579,62.55,64,100,11.5,US,2024-04-20 13:41:04
55,oranjemund,-28.55,16.4333,59.79,87,17,5.12,NA,2024-04-20 13:41:05
56,pemangkat,1.1667,108.9667,80.98,83,98,3.94,ID,2024-04-20 13:41:05
57,portland,45.5234,-122.6762,69.21,29,75,11.5,US,2024-04-20 13:38:16
58,brisas de zicatela,15.8369,-97.0419,86.52,70,0,8.05,MX,2024-04-20 13:40:16
59,melfi,40.9965,15.6514,45.16,99,87,1.28,IT,2024-04-20 13:41:05
60,filipstad,59.7124,14.1683,32.05,71,99,6.96,SE,2024-04-20 13:41:05
61,harper,4.375,-7.7169,82.65,82,93,5.88,LR,2024-04-20 13:41:06
